Viajeros y tasas;TIPO DE TRANSPORTE;Ciudad;Periodo;Total
Viajeros transportados;Urbano por metro;28079 Madrid;2015M12;50.991
Viajeros transportados;Urbano por metro;28079 Madrid;2015M11;52.466
Viajeros transportados;Urbano por metro;28079 Madrid;2015M10;54.612
Viajeros transportados;Urbano por metro;28079 Madrid;2015M09;47.202
Viajeros transportados;Urbano por metro;28079 Madrid;2015M08;29.978
Viajeros transportados;Urbano por metro;28079 Madrid;2015M07;43.144
Viajeros transportados;Urbano por metro;28079 Madrid;2015M06;47.494
Viajeros transportados;Urbano por metro;28079 Madrid;2015M05;49.719
Viajeros transportados;Urbano por metro;28079 Madrid;2015M04;48.809
Viajeros transportados;Urbano por metro;28079 Madrid;2015M03;50.358
Viajeros transportados;Urbano por metro;28079 Madrid;2015M02;47.363
Viajeros transportados;Urbano por metro;28079 Madrid;2015M01;47.600
Viajeros transportados;Urbano por metro;28079 Madrid;2014M12;49.749
Viajeros transportados;Urbano por metro;28079 Madrid;2014M11;49.278
Viajeros transportados;Urbano por metro;28079 Madrid;2014M10;54.028
Viajeros transportados;Urbano por metro;28079 Madrid;2014M09;46.320
Viajeros transportados;Urbano por metro;28079 Madrid;2014M08;28.938
Viajeros transportados;Urbano por metro;28079 Madrid;2014M07;42.653
Viajeros transportados;Urbano por metro;28079 Madrid;2014M06;46.271
Viajeros transportados;Urbano por metro;28079 Madrid;2014M05;48.888
Viajeros transportados;Urbano por metro;28079 Madrid;2014M04;46.804
Viajeros transportados;Urbano por metro;28079 Madrid;2014M03;51.869
Viajeros transportados;Urbano por metro;28079 Madrid;2014M02;47.438
Viajeros transportados;Urbano por metro;28079 Madrid;2014M01;48.618
Viajeros transportados;Urbano por metro;28079 Madrid;2013M12;48.435
Viajeros transportados;Urbano por metro;28079 Madrid;2013M11;49.900
Viajeros transportados;Urbano por metro;28079 Madrid;2013M10;52.885
Viajeros transportados;Urbano por metro;28079 Madrid;2013M09;44.245
Viajeros transportados;Urbano por metro;28079 Madrid;2013M08;28.261
Viajeros transportados;Urbano por metro;28079 Madrid;2013M07;41.339
Viajeros transportados;Urbano por metro;28079 Madrid;2013M06;47.331
Viajeros transportados;Urbano por metro;28079 Madrid;2013M05;49.561
Viajeros transportados;Urbano por metro;28079 Madrid;2013M04;51.973
Viajeros transportados;Urbano por metro;28079 Madrid;2013M03;46.264
Viajeros transportados;Urbano por metro;28079 Madrid;2013M02;48.731
Viajeros transportados;Urbano por metro;28079 Madrid;2013M01;48.968
Viajeros transportados;Urbano por metro;28079 Madrid;2012M12;47.907
Viajeros transportados;Urbano por metro;28079 Madrid;2012M11;51.066
Viajeros transportados;Urbano por metro;28079 Madrid;2012M10;55.387
Viajeros transportados;Urbano por metro;28079 Madrid;2012M09;46.817
Viajeros transportados;Urbano por metro;28079 Madrid;2012M08;32.283
Viajeros transportados;Urbano por metro;28079 Madrid;2012M07;44.973
Viajeros transportados;Urbano por metro;28079 Madrid;2012M06;52.016
Viajeros transportados;Urbano por metro;28079 Madrid;2012M05;54.774
Viajeros transportados;Urbano por metro;28079 Madrid;2012M04;49.995
Viajeros transportados;Urbano por metro;28079 Madrid;2012M03;56.719
Viajeros transportados;Urbano por metro;28079 Madrid;2012M02;55.280
Viajeros transportados;Urbano por metro;28079 Madrid;2012M01;54.335
